Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Burundi,BDI,..,..,..,14.77641164,16.72049353,15.97345067,14.54525902,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cabo Verde,CPV,..,..,25.95550077,..,..,20.99142286,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cambodia,KHM,..,..,10.84975297,11.47069427,11.55211329,12.63781184,13.74470323,16.57897293,15.93599605,17.36525529,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Canada,CAN,19.76545353,20.93143925,17.68822195,16.93596955,16.9650979,16.96113908,16.99475951,17.01946558,17.73788405,17.44214952,17.38614423,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Central African Republic,CAF,..,..,10.84780594,11.61706893,10.78944392,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Chile,CHL,18.84895014,20.88936892,19.00712826,21.40886152,22.56864117,22.10931814,20.90645656,20.56303726,21.01213884,20.79558297,21.11372343,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,China,CHN,..,..,11.64387554,11.20630667,11.20747937,11.10211254,10.91424839,15.80808387,16.03850912,15.68898246,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Colombia,COL,..,15.49434966,20.94073227,21.609072,23.52641433,26.36013268,24.5145781,23.35709664,22.94942708,23.93001844,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Congo, Dem. Rep.",COD,9.964746775,0.84222397,13.93746187,14.26562977,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Congo, Rep.",COG,..,..,31.3157555,40.85483873,43.94732543,43.82379879,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Costa Rica,CRI,23.08510754,22.25516097,23.60474107,23.10688309,23.57324825,23.74281502,24.15989693,23.72697592,24.17062106,24.71743174,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cote d'Ivoire,CIV,..,..,16.10853579,15.79385598,12.50391123,16.41185914,16.01539944,14.70162813,16.81425459,16.07778403,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Croatia,HRV,..,35.27279197,34.23242971,33.47368049,32.83882804,33.82436334,33.24585864,34.91611842,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cyprus,CYP,47.20465261,53.21428673,35.51979727,36.16775763,35.53244694,35.27551961,35.41469938,38.52020275,37.89525764,37.18834842,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Czech Republic,CZE,..,30.7750338,29.91177254,30.43366451,31.36992703,31.81662558,32.04119051,30.90517408,31.18365249,31.60614174,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Denmark,DNK,36.70041856,38.47745744,39.62888099,39.85894509,40.50536751,40.61774077,40.57886372,42.67226607,39.55437993,39.21945321,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Dominica,DMA,..,23.7347923,26.51039867,26.39090015,26.41837734,26.57677832,28.25155745,26.29208486,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Dominican Republic,DOM,12.04108313,13.80254012,14.02192848,13.8469365,13.73373812,14.54268209,15.0291855,15.29274367,18.17954639,15.5908672,15.95773354,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Egypt, Arab Rep.",EGY,23.04697286,..,26.92007292,24.78382231,21.93074174,20.22821998,21.41630832,19.87671362,20.98862474,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,El Salvador,SLV,..,15.54197061,20.97364242,22.02958096,23.22825163,22.65605774,21.11987587,20.59923543,21.05962775,23.9654609,25.27322099,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Equatorial Guinea,GNQ,..,..,33.37256245,26.64585267,28.30735635,27.94896431,25.01104102,24.20620204,26.70721086,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Estonia,EST,..,33.58899343,38.51655808,35.97314642,33.78703941,34.09889448,33.83322441,35.09811445,36.08516128,36.50912288,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Eswatini,SWZ,..,19.42201093,26.29380025,17.11499648,17.12143135,29.21239,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Ethiopia,ETH,12.26580031,..,9.401886355,10.76183752,10.87647408,11.07044066,10.44028758,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Fiji,FJI,26.78686869,..,..,24.02599275,25.2799227,25.31061557,25.71153142,26.70731844,27.60011436,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Finland,FIN,29.6035514,40.13694307,35.89314419,35.43719936,36.89864834,37.38219057,37.63143141,37.57069021,37.49355928,37.71463529,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,France,FRA,38.18269469,43.09600057,41.78226647,43.29468062,43.01944889,43.93897178,44.84049369,45.0165018,44.76499614,44.68887644,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
